title,authors,abstract,categories,published,clean_abstract,cluster,cluster_topic
Near-optimal delta-convex estimation of Lipschitz functions,Gábor Balázs,"This paper presents a tractable algorithm for estimating an unknown Lipschitz function from noisy observations and establishes an upper bound on its convergence rate. The approach extends max-affine methods from convex shape-restricted regression to the more general Lipschitz setting. A key component is a nonlinear feature expansion that maps max-affine functions into a subclass of delta-convex functions, which act as universal approximators of Lipschitz functions while preserving their Lipschitz constants. Leveraging this property, the estimator attains the minimax convergence rate (up to logarithmic factors) with respect to the intrinsic dimension of the data under squared loss and subgaussian distributions in the random design setting. The algorithm integrates adaptive partitioning to capture intrinsic dimension, a penalty-based regularization mechanism that removes the need to know the true Lipschitz constant, and a two-stage optimization procedure combining a convex initialization with local refinement. The framework is also straightforward to adapt to convex shape-restricted regression. Experiments demonstrate competitive performance relative to other theoretically justified methods, including nearest-neighbor and kernel-based regressors.","stat.ML, cs.LG",2025-11-19 17:02:30+00:00,paper present tractable algorithm estimating unknown lipschitz function noisy observation establishes upper bound convergence rate approach extends maxaffine method convex shaperestricted regression general lipschitz setting key component nonlinear feature expansion map maxaffine function subclass deltaconvex function act universal approximators lipschitz function preserving lipschitz constant leveraging property estimator attains minimax convergence rate logarithmic factor respect intrinsic dimension data squared loss subgaussian distribution random design setting algorithm integrates adaptive partitioning capture intrinsic dimension penaltybased regularization mechanism remove need know true lipschitz constant twostage optimization procedure combining convex initialization local refinement framework also straightforward adapt convex shaperestricted regression experiment demonstrate competitive performance relative theoretically justified method including nearestneighbor kernelbased regressors,2,"dynamicslearning, sgd"
Optimus-Q: Utilizing Federated Learning in Adaptive Robots for Intelligent Nuclear Power Plant Operations through Quantum Cryptography,"Sai Puppala, Ismail Hossain, Jahangir Alam, Sajedul Talukder","The integration of advanced robotics in nuclear power plants (NPPs) presents a transformative opportunity to enhance safety, efficiency, and environmental monitoring in high-stakes environments. Our paper introduces the Optimus-Q robot, a sophisticated system designed to autonomously monitor air quality and detect contamination while leveraging adaptive learning techniques and secure quantum communication. Equipped with advanced infrared sensors, the Optimus-Q robot continuously streams real-time environmental data to predict hazardous gas emissions, including carbon dioxide (CO$_2$), carbon monoxide (CO), and methane (CH$_4$). Utilizing a federated learning approach, the robot collaborates with other systems across various NPPs to improve its predictive capabilities without compromising data privacy. Additionally, the implementation of Quantum Key Distribution (QKD) ensures secure data transmission, safeguarding sensitive operational information. Our methodology combines systematic navigation patterns with machine learning algorithms to facilitate efficient coverage of designated areas, thereby optimizing contamination monitoring processes. Through simulations and real-world experiments, we demonstrate the effectiveness of the Optimus-Q robot in enhancing operational safety and responsiveness in nuclear facilities. This research underscores the potential of integrating robotics, machine learning, and quantum technologies to revolutionize monitoring systems in hazardous environments.","cs.RO, cs.AI",2025-11-19 17:01:24+00:00,integration advanced robotics nuclear power plant npps present transformative opportunity enhance safety efficiency environmental monitoring highstakes environment paper introduces optimusq robot sophisticated system designed autonomously monitor air quality detect contamination leveraging adaptive learning technique secure quantum communication equipped advanced infrared sensor optimusq robot continuously stream realtime environmental data predict hazardous gas emission including carbon dioxide co_2 carbon monoxide co methane ch_4 utilizing federated learning approach robot collaborates system across various npps improve predictive capability without compromising data privacy additionally implementation quantum key distribution qkd ensures secure data transmission safeguarding sensitive operational information methodology combine systematic navigation pattern machine learning algorithm facilitate efficient coverage designated area thereby optimizing contamination monitoring process simulation realworld experiment demonstrate effectiveness optimusq robot enhancing operational safety responsiveness nuclear facility research underscore potential integrating robotics machine learning quantum technology revolutionize monitoring system hazardous environment,6,"qml, higgs"
SRPO: Self-Referential Policy Optimization for Vision-Language-Action Models,"Senyu Fei, Siyin Wang, Li Ji, Ao Li, Shiduo Zhang, Liming Liu, Jinlong Hou, Jingjing Gong, Xianzhong Zhao, Xipeng Qiu","Vision-Language-Action (VLA) models excel in robotic manipulation but are constrained by their heavy reliance on expert demonstrations, leading to demonstration bias and limiting performance. Reinforcement learning (RL) is a vital post-training strategy to overcome these limits, yet current VLA-RL methods, including group-based optimization approaches, are crippled by severe reward sparsity. Relying on binary success indicators wastes valuable information in failed trajectories, resulting in low training efficiency. To solve this, we propose Self-Referential Policy Optimization (SRPO), a novel VLA-RL framework. SRPO eliminates the need for external demonstrations or manual reward engineering by leveraging the model's own successful trajectories, generated within the current training batch, as a self-reference. This allows us to assign a progress-wise reward to failed attempts. A core innovation is the use of latent world representations to measure behavioral progress robustly. Instead of relying on raw pixels or requiring domain-specific fine-tuning, we utilize the compressed, transferable encodings from a world model's latent space. These representations naturally capture progress patterns across environments, enabling accurate, generalized trajectory comparison. Empirical evaluations on the LIBERO benchmark demonstrate SRPO's efficiency and effectiveness. Starting from a supervised baseline with 48.9% success, SRPO achieves a new state-of-the-art success rate of 99.2% in just 200 RL steps, representing a 103% relative improvement without any extra supervision. Furthermore, SRPO shows substantial robustness, achieving a 167% performance improvement on the LIBERO-Plus benchmark.","cs.RO, cs.CL, cs.CV",2025-11-19 16:52:23+00:00,visionlanguageaction vla model excel robotic manipulation constrained heavy reliance expert demonstration leading demonstration bias limiting performance reinforcement learning rl vital posttraining strategy overcome limit yet current vlarl method including groupbased optimization approach crippled severe reward sparsity relying binary success indicator waste valuable information failed trajectory resulting low training efficiency solve propose selfreferential policy optimization srpo novel vlarl framework srpo eliminates need external demonstration manual reward engineering leveraging model successful trajectory generated within current training batch selfreference allows u assign progresswise reward failed attempt core innovation use latent world representation measure behavioral progress robustly instead relying raw pixel requiring domainspecific finetuning utilize compressed transferable encoding world model latent space representation naturally capture progress pattern across environment enabling accurate generalized trajectory comparison empirical evaluation libero benchmark demonstrate srpos efficiency effectiveness starting supervised baseline 489 success srpo achieves new stateoftheart success rate 992 200 rl step representing 103 relative improvement without extra supervision furthermore srpo show substantial robustness achieving 167 performance improvement liberoplus benchmark,9,"visionlanguageaction, geolocalization"
US-X Complete: A Multi-Modal Approach to Anatomical 3D Shape Recovery,"Miruna-Alexandra Gafencu, Yordanka Velikova, Nassir Navab, Mohammad Farid Azampour","Ultrasound offers a radiation-free, cost-effective solution for real-time visualization of spinal landmarks, paraspinal soft tissues and neurovascular structures, making it valuable for intraoperative guidance during spinal procedures. However, ultrasound suffers from inherent limitations in visualizing complete vertebral anatomy, in particular vertebral bodies, due to acoustic shadowing effects caused by bone. In this work, we present a novel multi-modal deep learning method for completing occluded anatomical structures in 3D ultrasound by leveraging complementary information from a single X-ray image. To enable training, we generate paired training data consisting of: (1) 2D lateral vertebral views that simulate X-ray scans, and (2) 3D partial vertebrae representations that mimic the limited visibility and occlusions encountered during ultrasound spine imaging. Our method integrates morphological information from both imaging modalities and demonstrates significant improvements in vertebral reconstruction (p < 0.001) compared to state of art in 3D ultrasound vertebral completion. We perform phantom studies as an initial step to future clinical translation, and achieve a more accurate, complete volumetric lumbar spine visualization overlayed on the ultrasound scan without the need for registration with preoperative modalities such as computed tomography. This demonstrates that integrating a single X-ray projection mitigates ultrasound's key limitation while preserving its strengths as the primary imaging modality. Code and data can be found at https://github.com/miruna20/US-X-Complete","cs.CV, cs.LG",2025-11-19 16:45:04+00:00,ultrasound offer radiationfree costeffective solution realtime visualization spinal landmark paraspinal soft tissue neurovascular structure making valuable intraoperative guidance spinal procedure however ultrasound suffers inherent limitation visualizing complete vertebral anatomy particular vertebral body due acoustic shadowing effect caused bone work present novel multimodal deep learning method completing occluded anatomical structure 3d ultrasound leveraging complementary information single xray image enable training generate paired training data consisting 1 2d lateral vertebral view simulate xray scan 2 3d partial vertebra representation mimic limited visibility occlusion encountered ultrasound spine imaging method integrates morphological information imaging modality demonstrates significant improvement vertebral reconstruction p 0001 compared state art 3d ultrasound vertebral completion perform phantom study initial step future clinical translation achieve accurate complete volumetric lumbar spine visualization overlayed ultrasound scan without need registration preoperative modality computed tomography demonstrates integrating single xray projection mitigates ultrasound key limitation preserving strength primary imaging modality code data found httpsgithubcommiruna20usxcomplete,0,"ultrasound, elastography"
Learning from Mistakes: Loss-Aware Memory Enhanced Continual Learning for LiDAR Place Recognition,"Xufei Wang, Junqiao Zhao, Siyue Tao, Qiwen Gu, Wonbong Kim, Tiantian Feng","LiDAR place recognition plays a crucial role in SLAM, robot navigation, and autonomous driving. However, existing LiDAR place recognition methods often struggle to adapt to new environments without forgetting previously learned knowledge, a challenge widely known as catastrophic forgetting. To address this issue, we propose KDF+, a novel continual learning framework for LiDAR place recognition that extends the KDF paradigm with a loss-aware sampling strategy and a rehearsal enhancement mechanism. The proposed sampling strategy estimates the learning difficulty of each sample via its loss value and selects samples for replay according to their estimated difficulty. Harder samples, which tend to encode more discriminative information, are sampled with higher probability while maintaining distributional coverage across the dataset. In addition, the rehearsal enhancement mechanism encourages memory samples to be further refined during new-task training by slightly reducing their loss relative to previous tasks, thereby reinforcing long-term knowledge retention. Extensive experiments across multiple benchmarks demonstrate that KDF+ consistently outperforms existing continual learning methods and can be seamlessly integrated into state-of-the-art continual learning for LiDAR place recognition frameworks to yield significant and stable performance gains. The code will be available at https://github.com/repo/KDF-plus.",cs.CV,2025-11-19 16:41:30+00:00,lidar place recognition play crucial role slam robot navigation autonomous driving however existing lidar place recognition method often struggle adapt new environment without forgetting previously learned knowledge challenge widely known catastrophic forgetting address issue propose kdf novel continual learning framework lidar place recognition extends kdf paradigm lossaware sampling strategy rehearsal enhancement mechanism proposed sampling strategy estimate learning difficulty sample via loss value selects sample replay according estimated difficulty harder sample tend encode discriminative information sampled higher probability maintaining distributional coverage across dataset addition rehearsal enhancement mechanism encourages memory sample refined newtask training slightly reducing loss relative previous task thereby reinforcing longterm knowledge retention extensive experiment across multiple benchmark demonstrate kdf consistently outperforms existing continual learning method seamlessly integrated stateoftheart continual learning lidar place recognition framework yield significant stable performance gain code available httpsgithubcomrepokdfplus,8,"cnntransformer, ssmixnet"
What Does It Take to Be a Good AI Research Agent? Studying the Role of Ideation Diversity,"Alexis Audran-Reiss, Jordi Armengol Estapé, Karen Hambardzumyan, Amar Budhiraja, Martin Josifoski, Edan Toledo, Rishi Hazra, Despoina Magka, Michael Shvartsman, Parth Pathak, Justine T Kao, Lucia Cipolina-Kun, Bhavul Gauri, Jean-Christophe Gagnon-Audet, Emanuel Tewolde, Jenny Zhang, Taco Cohen, Yossi Adi, Tatiana Shavrina, Yoram Bachrach","AI research agents offer the promise to accelerate scientific progress by automating the design, implementation, and training of machine learning models. However, the field is still in its infancy, and the key factors driving the success or failure of agent trajectories are not fully understood. We examine the role that ideation diversity plays in agent performance. First, we analyse agent trajectories on MLE-bench, a well-known benchmark to evaluate AI research agents, across different models and agent scaffolds. Our analysis reveals that different models and agent scaffolds yield varying degrees of ideation diversity, and that higher-performing agents tend to have increased ideation diversity. Further, we run a controlled experiment where we modify the degree of ideation diversity, demonstrating that higher ideation diversity results in stronger performance. Finally, we strengthen our results by examining additional evaluation metrics beyond the standard medal-based scoring of MLE-bench, showing that our findings still hold across other agent performance metrics.",cs.AI,2025-11-19 16:32:18+00:00,ai research agent offer promise accelerate scientific progress automating design implementation training machine learning model however field still infancy key factor driving success failure agent trajectory fully understood examine role ideation diversity play agent performance first analyse agent trajectory mlebench wellknown benchmark evaluate ai research agent across different model agent scaffold analysis reveals different model agent scaffold yield varying degree ideation diversity higherperforming agent tend increased ideation diversity run controlled experiment modify degree ideation diversity demonstrating higher ideation diversity result stronger performance finally strengthen result examining additional evaluation metric beyond standard medalbased scoring mlebench showing finding still hold across agent performance metric,1,"rescuelens, volunteer"
A critical review of pre-post surveys designed to measure student epistemology in undergraduate science courses,"Kyriaki Chatzikyriakidou, Kristi L. Hall, Edward F. Redish, Todd J. Cooke","The epistemology of science students, i.e., their beliefs about the nature of the knowledge they are learning, about what they have to do to learn it, and about how they will use that knowledge, often plays a powerful role in what they learn in their science courses. This perspective paper provides a broad overview of the theoretical frameworks, designs, and applications of online pre-post surveys that are available to assess the potential shifts in epistemic perspectives in undergraduate science courses. We pay particular attention to a recent survey for biology courses called the Maryland Biological Expectation Survey (MBEX). The MBEX was developed to probe four epistemic themes that are closely aligned with the Vision and Change initiative for reforming undergraduate biology education. This review is intended to inform STEM teachers about the availability of online epistemological surveys for evaluating the epistemic effects of their courses. These surveys can also help STEM education researchers readily evaluate how different pedagogies, classroom contexts, and other features of learning environments affect the epistemic perspectives of science students.",physics.ed-ph,2025-11-19 16:07:36+00:00,epistemology science student ie belief nature knowledge learning learn use knowledge often play powerful role learn science course perspective paper provides broad overview theoretical framework design application online prepost survey available assess potential shift epistemic perspective undergraduate science course pay particular attention recent survey biology course called maryland biological expectation survey mbex mbex developed probe four epistemic theme closely aligned vision change initiative reforming undergraduate biology education review intended inform stem teacher availability online epistemological survey evaluating epistemic effect course survey also help stem education researcher readily evaluate different pedagogy classroom context feature learning environment affect epistemic perspective science student,1,"rescuelens, volunteer"
HSKBenchmark: Modeling and Benchmarking Chinese Second Language Acquisition in Large Language Models through Curriculum Tuning,"Qihao Yang, Xuelin Wang, Jiale Chen, Xuelian Dong, Yuxin Hao, Tianyong Hao","Language acquisition is vital to revealing the nature of human language intelligence and has recently emerged as a promising perspective for improving the interpretability of large language models (LLMs). However, it is ethically and practically infeasible to conduct experiments that require controlling human learners' language inputs. This poses challenges for the verifiability and scalability of language acquisition modeling, particularly in Chinese second language acquisition (SLA). While LLMs provide a controllable and reproducible alternative, a systematic benchmark to support phase-wise modeling and assessment is still lacking. In this paper, we present HSKBenchmark, the first benchmark for staged modeling and writing assessment of LLMs in Chinese SLA. It covers HSK levels 3 to 6 and includes authentic textbooks with 6.76 million tokens, 16K synthetic instruction samples, 30 test topics, and a linguistically grounded evaluation system. To simulate human learning trajectories, we introduce a curriculum-tuning framework that trains models from beginner to advanced levels. An evaluation system is created to examine level-based grammar coverage, writing errors, lexical and syntactic complexity, and holistic scoring. We also build HSKAgent, fine-tuned on 10K learner compositions. Extensive experimental results demonstrate that HSKBenchmark not only models Chinese SLA effectively, but also serves as a reliable benchmark for dynamic writing assessment in LLMs. Our fine-tuned LLMs have writing performance on par with advanced human learners and exhibit human-like acquisition characteristics. The HSKBenchmark, HSKAgent, and checkpoints serve as foundational tools and resources, with the potential to pave the way for future research on language acquisition modeling and LLMs interpretability. Code and data are publicly available at: https://github.com/CharlesYang030/HSKB.","cs.CL, cs.AI",2025-11-19 16:06:06+00:00,language acquisition vital revealing nature human language intelligence recently emerged promising perspective improving interpretability large language model llm however ethically practically infeasible conduct experiment require controlling human learner language input pose challenge verifiability scalability language acquisition modeling particularly chinese second language acquisition sla llm provide controllable reproducible alternative systematic benchmark support phasewise modeling assessment still lacking paper present hskbenchmark first benchmark staged modeling writing assessment llm chinese sla cover hsk level 3 6 includes authentic textbook 676 million token 16k synthetic instruction sample 30 test topic linguistically grounded evaluation system simulate human learning trajectory introduce curriculumtuning framework train model beginner advanced level evaluation system created examine levelbased grammar coverage writing error lexical syntactic complexity holistic scoring also build hskagent finetuned 10k learner composition extensive experimental result demonstrate hskbenchmark model chinese sla effectively also serf reliable benchmark dynamic writing assessment llm finetuned llm writing performance par advanced human learner exhibit humanlike acquisition characteristic hskbenchmark hskagent checkpoint serve foundational tool resource potential pave way future research language acquisition modeling llm interpretability code data publicly available httpsgithubcomcharlesyang030hskb,1,"rescuelens, volunteer"
Variance-reduced extreme value index estimators using control variates in a semi-supervised setting,"Louison Bocquet-Nouaille, Jérôme Morio, Benjamin Bobbia","The estimation of the Extreme Value Index (EVI) is fundamental in extreme value analysis but suffers from high variance due to reliance on only a few extreme observations. We propose a control variates based transfer learning approach in a semi-supervised framework, where a small set of coupled target and source observations is combined with abundant unpaired source data. By expressing the Hill estimator of the target EVI as a ratio of means, we apply approximate control variates to both numerator and denominator, with jointly optimized coefficients that guarantee variance reduction without introducing bias. We show theoretically and through simulations that the asymptotic relative variance reduction of the transferred Hill estimator is proportional to the tail dependence between the target and source variables and independent of their EVI values. Thus, substantial variance reduction can be achieved even without similarity in tail heaviness of the target and source distributions. The proposed approach can be extended to other EVI estimators expressed with ratio of means, as demonstrated on the moment estimator. The practical value of the proposed method is illustrated on multi-fidelity water surge and ice accretion datasets.","stat.ME, math.ST",2025-11-19 15:54:42+00:00,estimation extreme value index evi fundamental extreme value analysis suffers high variance due reliance extreme observation propose control variate based transfer learning approach semisupervised framework small set coupled target source observation combined abundant unpaired source data expressing hill estimator target evi ratio mean apply approximate control variate numerator denominator jointly optimized coefficient guarantee variance reduction without introducing bias show theoretically simulation asymptotic relative variance reduction transferred hill estimator proportional tail dependence target source variable independent evi value thus substantial variance reduction achieved even without similarity tail heaviness target source distribution proposed approach extended evi estimator expressed ratio mean demonstrated moment estimator practical value proposed method illustrated multifidelity water surge ice accretion datasets,3,"equipment, evi"
Meta-Black-Box Optimization with Bi-Space Landscape Analysis and Dual-Control Mechanism for SAEA,"Yukun Du, Haiyue Yu, Xiaotong Xie, Yan Zheng, Lixin Zhan, Yudong Du, Chongshuang Hu, Boxuan Wang, Jiang Jiang","Surrogate-Assisted Evolutionary Algorithms (SAEAs) are widely used for expensive Black-Box Optimization. However, their reliance on rigid, manually designed components such as infill criteria and evolutionary strategies during the search process limits their flexibility across tasks. To address these limitations, we propose Dual-Control Bi-Space Surrogate-Assisted Evolutionary Algorithm (DB-SAEA), a Meta-Black-Box Optimization (MetaBBO) framework tailored for multi-objective problems. DB-SAEA learns a meta-policy that jointly regulates candidate generation and infill criterion selection, enabling dual control. The bi-space Exploratory Landscape Analysis (ELA) module in DB-SAEA adopts an attention-based architecture to capture optimization states from both true and surrogate evaluation spaces, while ensuring scalability across problem dimensions, population sizes, and objectives. Additionally, we integrate TabPFN as the surrogate model for accurate and efficient prediction with uncertainty estimation. The framework is trained via reinforcement learning, leveraging parallel sampling and centralized training to enhance efficiency and transferability across tasks. Experimental results demonstrate that DB-SAEA not only outperforms state-of-the-art baselines across diverse benchmarks, but also exhibits strong zero-shot transfer to unseen tasks with higher-dimensional settings. This work introduces the first MetaBBO framework with dual-level control over SAEAs and a bi-space ELA that captures surrogate model information.",cs.NE,2025-11-19 15:43:19+00:00,surrogateassisted evolutionary algorithm saeas widely used expensive blackbox optimization however reliance rigid manually designed component infill criterion evolutionary strategy search process limit flexibility across task address limitation propose dualcontrol bispace surrogateassisted evolutionary algorithm dbsaea metablackbox optimization metabbo framework tailored multiobjective problem dbsaea learns metapolicy jointly regulates candidate generation infill criterion selection enabling dual control bispace exploratory landscape analysis ela module dbsaea adopts attentionbased architecture capture optimization state true surrogate evaluation space ensuring scalability across problem dimension population size objective additionally integrate tabpfn surrogate model accurate efficient prediction uncertainty estimation framework trained via reinforcement learning leveraging parallel sampling centralized training enhance efficiency transferability across task experimental result demonstrate dbsaea outperforms stateoftheart baseline across diverse benchmark also exhibit strong zeroshot transfer unseen task higherdimensional setting work introduces first metabbo framework duallevel control saeas bispace ela capture surrogate model information,9,"visionlanguageaction, geolocalization"
A Physics Informed Machine Learning Framework for Optimal Sensor Placement and Parameter Estimation,"Georgios Venianakis, Constantinos Theodoropoulos, Michail Kavousanakis","Parameter estimation remains a challenging task across many areas of engineering. Because data acquisition can often be costly, limited, or prone to inaccuracies (noise, uncertainty) it is crucial to identify sensor configurations that provide the maximum amount of information about the unknown parameters, in particular for the case of distributed-parameter systems, where spatial variations are important. Physics-Informed Neural Networks (PINNs) have recently emerged as a powerful machine-learning (ML) tool for parameter estimation, particularly in cases with sparse or noisy measurements, overcoming some of the limitations of traditional optimization-based and Bayesian approaches. Despite the widespread use of PINNs for solving inverse problems, relatively little attention has been given to how their performance depends on sensor placement. This study addresses this gap by introducing a comprehensive PINN-based framework that simultaneously tackles optimal sensor placement and parameter estimation. Our approach involves training a PINN model in which the parameters of interest are included as additional inputs. This enables the efficient computation of sensitivity functions through automatic differentiation, which are then used to determine optimal sensor locations exploiting the D-optimality criterion. The framework is validated on two illustrative distributed-parameter reaction-diffusion-advection problems of increasing complexity. The results demonstrate that our PINNs-based methodology consistently achieves higher accuracy compared to parameter values estimated from intuitively or randomly selected sensor positions.","stat.ML, cs.LG",2025-11-19 15:37:17+00:00,parameter estimation remains challenging task across many area engineering data acquisition often costly limited prone inaccuracy noise uncertainty crucial identify sensor configuration provide maximum amount information unknown parameter particular case distributedparameter system spatial variation important physicsinformed neural network pinns recently emerged powerful machinelearning ml tool parameter estimation particularly case sparse noisy measurement overcoming limitation traditional optimizationbased bayesian approach despite widespread use pinns solving inverse problem relatively little attention given performance depends sensor placement study address gap introducing comprehensive pinnbased framework simultaneously tackle optimal sensor placement parameter estimation approach involves training pinn model parameter interest included additional input enables efficient computation sensitivity function automatic differentiation used determine optimal sensor location exploiting doptimality criterion framework validated two illustrative distributedparameter reactiondiffusionadvection problem increasing complexity result demonstrate pinnsbased methodology consistently achieves higher accuracy compared parameter value estimated intuitively randomly selected sensor position,2,"dynamicslearning, sgd"
The VVVX quest for satellites around the Circinus galaxy,"L. D. Baravalle, A. L. O'Mill, M. V. Alonso, C. Obasi, D. Minniti, M. Gómez, C. Villalon, J. Nilo-Castellón, C. Valotto, M. Soto, I. V. Daza Perilla, M. A. Sgró, J. G. Fernández-Trincado","The Circinus galaxy is the nearest type-2 Seyfert galaxy, which is at a distance of 4.2 Mpc. Its environment is challenging to explore because it is located at low Galactic latitudes, behind the Galactic disc. The long-term goal is to characterise the Circinus galaxy halo and determine the presence of dwarf satellites using near-infrared data. We selected 1,542 galaxies from the VVV NIRGC within a 2-degree radius around Circinus, representing 2/3 of the virial radius. Structural parameters such as half-light radii and colours were used, and correlations were examined. A neural network was trained with 486 galaxies with known spectroscopic redshifts to estimate photometric redshifts for all galaxies. Potential satellites were defined based on half-light radii compatible with the typical sizes of dwarf satellites, and combined with photometric redshifts. The galaxy properties are reliably characterised down to $K_{s}$ $\sim$ 15.5 mag, which represents about 90% completeness of detections. At the distance of Circinus, this limiting magnitude corresponds to $K_{s}$ absolute magnitude of $-12.6$ mag, which allows us to find dwarf galaxies. There are 20 galaxies with half-light radii larger than 2.45 arcsec, only 8 have photometric redshifts below 0.04. None of these galaxies is close to Circinus, which has a redshift of 0.0015. The ANNz model exhibited a high degree of accuracy in the range $0.001 < z_{phot} < 0.023$. The presence of dwarf satellites could not be confirmed with the available data in the studied region. The apparent lack of satellites may be genuine, possibly related to AGN feedback effects. This work demonstrates the effectiveness of combining near-infrared data and machine learning techniques to estimate photometric redshifts at low Galactic latitudes, providing useful information for future spectroscopic follow-up campaigns.",astro-ph.GA,2025-11-19 15:37:09+00:00,circinus galaxy nearest type2 seyfert galaxy distance 42 mpc environment challenging explore located low galactic latitude behind galactic disc longterm goal characterise circinus galaxy halo determine presence dwarf satellite using nearinfrared data selected 1542 galaxy vvv nirgc within 2degree radius around circinus representing 23 virial radius structural parameter halflight radius colour used correlation examined neural network trained 486 galaxy known spectroscopic redshift estimate photometric redshift galaxy potential satellite defined based halflight radius compatible typical size dwarf satellite combined photometric redshift galaxy property reliably characterised k_s sim 155 mag represents 90 completeness detection distance circinus limiting magnitude corresponds k_s absolute magnitude 126 mag allows u find dwarf galaxy 20 galaxy halflight radius larger 245 arcsec 8 photometric redshift 004 none galaxy close circinus redshift 00015 annz model exhibited high degree accuracy range 0001 z_phot 0023 presence dwarf satellite could confirmed available data studied region apparent lack satellite may genuine possibly related agn feedback effect work demonstrates effectiveness combining nearinfrared data machine learning technique estimate photometric redshift low galactic latitude providing useful information future spectroscopic followup campaign,5,"tokenisation, tokenisers"
A Hybrid CNN-ViT-GNN Framework with GAN-Based Augmentation for Intelligent Weed Detection in Precision Agriculture,"Pandiyaraju V, Abishek Karthik, Sreya Mynampati, Poovarasan L, D. Saraswathi","The task of weed detection is an essential element of precision agriculture since accurate species identification allows a farmer to selectively apply herbicides and fits into sustainable agriculture crop management. This paper proposes a hybrid deep learning framework recipe for weed detection that utilizes Convolutional Neural Networks (CNNs), Vision Transformers (ViTs), and Graph Neural Networks (GNNs) to build robustness to multiple field conditions. A Generative Adversarial Network (GAN)-based augmentation method was imposed to balance class distributions and better generalize the model. Further, a self-supervised contrastive pre-training method helps to learn more features from limited annotated data. Experimental results yield superior results with 99.33% accuracy, precision, recall, and F1-score on multi-benchmark datasets. The proposed model architecture enables local, global, and relational feature representations and offers high interpretability and adaptability. Practically, the framework allows real-time, efficient deployment to edge devices for automated weed detecting, reducing over-reliance on herbicides and providing scalable, sustainable precision-farming options.",cs.CV,2025-11-19 15:32:08+00:00,task weed detection essential element precision agriculture since accurate specie identification allows farmer selectively apply herbicide fit sustainable agriculture crop management paper proposes hybrid deep learning framework recipe weed detection utilizes convolutional neural network cnns vision transformer vits graph neural network gnns build robustness multiple field condition generative adversarial network ganbased augmentation method imposed balance class distribution better generalize model selfsupervised contrastive pretraining method help learn feature limited annotated data experimental result yield superior result 9933 accuracy precision recall f1score multibenchmark datasets proposed model architecture enables local global relational feature representation offer high interpretability adaptability practically framework allows realtime efficient deployment edge device automated weed detecting reducing overreliance herbicide providing scalable sustainable precisionfarming option,8,"cnntransformer, ssmixnet"
Exploring the use of AI authors and reviewers at Agents4Science,"Federico Bianchi, Owen Queen, Nitya Thakkar, Eric Sun, James Zou","There is growing interest in using AI agents for scientific research, yet fundamental questions remain about their capabilities as scientists and reviewers. To explore these questions, we organized Agents4Science, the first conference in which AI agents serve as both primary authors and reviewers, with humans as co-authors and co-reviewers. Here, we discuss the key learnings from the conference and their implications for human-AI collaboration in science.",cs.AI,2025-11-19 15:32:07+00:00,growing interest using ai agent scientific research yet fundamental question remain capability scientist reviewer explore question organized agents4science first conference ai agent serve primary author reviewer human coauthor coreviewers discus key learning conference implication humanai collaboration science,1,"rescuelens, volunteer"
Convergence and Sketching-Based Efficient Computation of Neural Tangent Kernel Weights in Physics-Based Loss,"Max Hirsch, Federico Pichi","In multi-objective optimization, multiple loss terms are weighted and added together to form a single objective. These weights are chosen to properly balance the competing losses according to some meta-goal. For example, in physics-informed neural networks (PINNs), these weights are often adaptively chosen to improve the network's generalization error. A popular choice of adaptive weights is based on the neural tangent kernel (NTK) of the PINN, which describes the evolution of the network in predictor space during training. The convergence of such an adaptive weighting algorithm is not clear a priori. Moreover, these NTK-based weights would be updated frequently during training, further increasing the computational burden of the learning process. In this paper, we prove that under appropriate conditions, gradient descent enhanced with adaptive NTK-based weights is convergent in a suitable sense. We then address the problem of computational efficiency by developing a randomized algorithm inspired by a predictor-corrector approach and matrix sketching, which produces unbiased estimates of the NTK up to an arbitrarily small discretization error. Finally, we provide numerical experiments to support our theoretical findings and to show the efficacy of our randomized algorithm. Code Availability: https://github.com/maxhirsch/Efficient-NTK","math.NA, cs.LG",2025-11-19 15:29:42+00:00,multiobjective optimization multiple loss term weighted added together form single objective weight chosen properly balance competing loss according metagoal example physicsinformed neural network pinns weight often adaptively chosen improve network generalization error popular choice adaptive weight based neural tangent kernel ntk pinn describes evolution network predictor space training convergence adaptive weighting algorithm clear priori moreover ntkbased weight would updated frequently training increasing computational burden learning process paper prove appropriate condition gradient descent enhanced adaptive ntkbased weight convergent suitable sense address problem computational efficiency developing randomized algorithm inspired predictorcorrector approach matrix sketching produce unbiased estimate ntk arbitrarily small discretization error finally provide numerical experiment support theoretical finding show efficacy randomized algorithm code availability httpsgithubcommaxhirschefficientntk,8,"cnntransformer, ssmixnet"
